,dataset,fold,roc_auc,accuracy,models
73,numerai28.6,4,0.5260239634111952,0.5208679401993356,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='f22f6054-38b7-4bb0-8d44-bc426f08b66c')"
74,numerai28.6,5,0.5346988765986775,0.5259551495016611,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='92dc8b7c-5790-44f8-90c7-5655d541f29b')"
75,numerai28.6,6,0.528804654630803,0.5213870431893688,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='dd7cdc6f-598c-4475-b07d-a6e4781c81b2')"
76,numerai28.6,7,0.5343991528567799,0.5242940199335548,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='b833b9d6-7ff3-4f95-8644-8738d30eb96e')"
77,numerai28.6,8,0.5282191347500336,0.5198297342192691,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='a43a294b-8b94-45f4-9135-432deeb9c5cb')"
78,numerai28.6,9,0.53394023186915,0.5128737541528239,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='3631998d-001d-4629-9fac-13bb654bba07')"
79,numerai28.6,10,0.5295491992792487,0.5223214285714286,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='a0ee9269-99f8-4fa0-8732-1cc1d5f3c7ae')"
80,higgs,1,0.8004504101745564,0.7227944926058134,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='459c30a1-603d-4473-b44c-7e5927592398')"
81,higgs,2,0.7945616254471771,0.7167771545130036,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='09c74a13-8f24-4142-95c6-5afe1fd7b1de')"
82,higgs,3,0.8014728932819833,0.7259561448240693,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='29bc7409-73de-44b1-a7cb-6bf479536765')"
83,higgs,4,0.8029691816930045,0.7192248852626211,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='18fb2a5e-075f-447c-9709-17f1fa60cbe7')"
84,higgs,5,0.8059041253680838,0.726874043855176,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='90aa50d6-2794-44a4-8963-4f5ac804f9a0')"
85,higgs,6,0.8015300745630729,0.7228964813870474,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='2bba2235-e2a2-410b-b7a7-dad561366275')"
86,higgs,7,0.8031584049742221,0.7220805711371749,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='4cd7ec28-c5f0-43db-8ee9-079c190fee53')"
87,higgs,8,0.7917585475867123,0.7150433452320245,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='7c0c9a59-dff1-4698-b94c-2c3660b72b97')"
88,higgs,9,0.7898296639823649,0.7156552779194288,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='d1f8901f-87e4-471a-a758-9f21cb030f29')"
89,higgs,10,0.8101040640385349,0.7287098419173891,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='9ead5bb3-ae06-4233-ab50-2540e1b6a001')"
90,airlines,1,0.5,0.5545523647082816,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='59a64690-3de4-46ec-ab24-93a9d48d2986')"
91,airlines,2,0.5,0.5545523647082816,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='c9e6682a-17cb-4c53-8162-bc86b591e350')"
92,airlines,3,0.5,0.5545523647082816,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='fe39b286-2c97-4b87-839f-5564b0f27980')"
93,airlines,4,0.5,0.554562646000964,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='3251eb7c-0fbf-461c-a862-f4c53af0fa92')"
94,airlines,5,0.5,0.554562646000964,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='c6ff3a5e-1fc3-4a60-84f9-912ac5c9864f')"
95,airlines,6,0.5,0.554562646000964,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='51f9e8d3-f6e2-4f52-8b52-72afbbb8ff68')"
96,airlines,7,0.5,0.554562646000964,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='fab97666-7250-44e5-89db-a1fd8b64d2ac')"
97,airlines,8,0.5,0.554562646000964,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='1d537945-452d-44e3-99fe-a7ab428d7b48')"
98,airlines,9,0.5,0.554562646000964,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='a6011635-422a-4db0-a290-a79b02bf981b')"
99,airlines,10,0.5,0.5545441061960028,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='8cecc249-6ddd-4806-8079-027b4ad0104a')"
100,KDDCup09_appetency,1,0.5,0.9822,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='aff22af4-17bf-4e17-bded-15a65f809b68')"
101,KDDCup09_appetency,2,0.5,0.9822,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='b5999c58-48bc-471d-a7b2-4dbe1ed03ffa')"
